"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",0,0,0,0,0,0,0,0
"Caminha",0,0,0,0,0,1,1,1
"Melgaço",0,0,0,0,0,0,0,0
"Monção",0,0,0,0,0,0,0,0
"Paredes de Coura",0,0,0,0,0,0,0,0
"Ponte da Barca",1,1,1,1,1,1,1,1
"Ponte de Lima",0,0,0,0,0,1,0,0
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",7,8,8,8,8,8,10,11
"Vila Nova de Cerveira",0,0,0,0,0,0,0,0
"Amares",1,0,0,1,1,1,1,1
"Barcelos",2,2,2,2,2,2,2,3
"Braga",12,13,13,14,14,15,17,16
"Esposende",0,1,1,1,1,1,1,1
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",0,0,0,0,0,0,0,0
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",0,0,0,0,0,0,2,2
"Guimarães",4,5,5,5,5,5,4,5
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",1,1,1,2,2,2,2,1
"Vizela",1,1,2,2,2,2,2,4
"Arouca",0,0,0,0,0,0,0,0
"Espinho",1,1,1,1,1,1,1,1
"Gondomar",6,6,6,6,9,10,10,10
"Maia",11,12,12,11,10,11,12,11
"Matosinhos",17,18,19,23,25,25,26,26
"Oliveira de Azeméis",0,1,1,1,1,1,1,1
"Paredes",0,0,0,0,0,0,0,0
"Porto",102,104,106,114,123,125,131,133
"Póvoa de Varzim",2,2,1,1,1,1,1,1
"Santa Maria da Feira",2,2,3,3,3,3,4,5
"Santo Tirso",2,1,1,1,1,1,1,1
"São João da Madeira",3,3,3,3,3,3,3,3
"Trofa",0,0,0,0,0,0,0,0
"Vale de Cambra",1,1,1,1,1,1,1,1
"Valongo",1,1,1,1,1,1,1,1
"Vila do Conde",4,4,4,4,5,7,7,8
"Vila Nova de Gaia",25,25,27,29,26,26,26,26
"Boticas",0,0,0,0,0,0,0,0
"Chaves",3,3,3,2,2,1,1,1
"Montalegre",0,0,0,0,0,0,0,0
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",2,2,2,1,2,2,2,1
"Vila Pouca de Aguiar",0,0,0,0,0,0,0,0
"Amarante",0,0,0,0,0,0,0,0
"Baião",0,0,0,0,0,0,0,0
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",0,0,0,0,0,0,0,0
"Felgueiras",0,0,0,0,0,0,0,0
"Lousada",0,0,0,0,0,0,0,0
"Marco de Canaveses",1,1,1,1,1,2,2,2
