"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",0,0,0,0,0,0,0,0
"Caminha",2,2,2,2,2,2,2,2
"Melgaço",0,0,0,0,0,0,0,0
"Monção",1,2,2,2,2,2,2,2
"Paredes de Coura",0,0,0,0,0,0,0,0
"Ponte da Barca",1,1,1,1,0,0,0,0
"Ponte de Lima",2,2,2,2,2,2,2,2
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",4,4,4,3,4,7,8,7
"Vila Nova de Cerveira",0,0,0,0,0,0,0,0
"Amares",0,0,0,0,0,0,0,0
"Barcelos",2,2,3,3,3,3,3,3
"Braga",24,25,25,27,30,32,36,36
"Esposende",3,3,3,3,3,4,4,4
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",0,0,0,0,0,0,0,0
"Cabeceiras de Basto",0,0,0,0,0,0,0,0
"Fafe",2,2,2,1,1,1,2,2
"Guimarães",5,5,6,6,6,6,6,6
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",7,7,7,7,7,7,7,8
"Vizela",1,1,1,1,1,1,1,1
"Arouca",0,0,0,0,0,0,0,0
"Espinho",4,5,6,6,6,6,6,6
"Gondomar",11,8,10,9,8,8,7,7
"Maia",18,18,19,20,21,22,21,21
"Matosinhos",33,34,33,37,38,41,42,43
"Oliveira de Azeméis",2,2,2,2,2,2,2,2
"Paredes",1,1,1,1,1,1,1,1
"Porto",115,120,124,127,129,128,130,133
"Póvoa de Varzim",6,6,5,4,4,5,4,5
"Santa Maria da Feira",1,3,4,4,4,5,5,6
"Santo Tirso",1,1,2,3,4,4,4,4
"São João da Madeira",2,2,2,2,2,3,2,2
"Trofa",1,1,1,1,1,2,2,2
"Vale de Cambra",1,1,1,1,1,0,1,1
"Valongo",4,4,4,4,4,4,5,5
"Vila do Conde",3,3,4,4,4,4,4,4
"Vila Nova de Gaia",25,29,31,35,39,41,44,43
"Boticas",0,0,0,0,0,0,0,0
"Chaves",5,5,5,6,7,6,6,6
"Montalegre",0,0,0,0,0,0,0,1
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",2,2,2,0,0,0,0,0
"Vila Pouca de Aguiar",0,0,0,0,0,0,0,0
"Amarante",2,2,2,2,2,2,2,2
"Baião",0,0,0,0,0,0,0,0
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",0,0,0,0,0,0,0,0
"Felgueiras",0,0,0,0,0,0,0,0
"Lousada",0,0,0,0,0,0,0,0
"Marco de Canaveses",0,0,0,0,0,0,0,0
"Paços de Ferreira",0,0,0,0,0,0,0,1
"Penafiel",4,4,5,5,4,3,3,3
"Resende",0,0,0,0,0,0,0,0
"Alijó",0,0,0,0,0,0,0,0
"Armamar",0,0,0,0,0,0,0,1
"Carrazeda de Ansiães",0,0,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",0,0,0,0,0,0,0,0
"Mesão Frio",0,0,0,0,0,0,0,0
"Moimenta da Beira",0,0,0,0,0,0,0,0
"Murça",0,0,0,0,0,0,0,0
"Penedono",0,0,0,0,0,0,0,0
"Peso da Régua",0,0,0,0,0,0,0,0
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"São João da Pesqueira",0,0,0,0,0,0,0,0
"Sernancelhe",0,0,0,0,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",0,0,0,0,0,0,0,0
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",9,9,10,10,10,10,10,9
"Alfândega da Fé",0,0,0,0,0,0,0,0
"Bragança",2,2,2,2,2,2,2,2
"Macedo de Cavaleiros",5,5,5,5,6,6,6,6
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",0,0,0,0,0,0,0,0
"Mogadouro",1,1,1,1,1,1,1,1
"Vila Flor",0,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,0,0,0,0,0,0
"Alcobaça",0,0,0,0,0,0,0,0
"Alenquer",0,0,0,0,0,0,0,1
"Arruda dos Vinhos",0,0,0,0,1,1,1,1
"Bombarral",0,0,0,0,0,0,0,0
"Cadaval",0,0,0,0,0,0,0,0
"Caldas da Rainha",7,7,7,6,6,6,6,5
"Lourinhã",0,0,0,0,0,0,0,0
"Nazaré",0,1,0,0,0,0,0,0
"Óbidos",0,0,0,0,0,0,0,0
"Peniche",0,0,0,0,0,0,0,0
"Sobral de Monte Agraço",0,0,0,0,0,0,0,0
"Torres Vedras",7,7,7,6,6,6,6,7
"Águeda",2,2,2,2,2,2,2,2
"Albergaria-a-Velha",2,2,2,2,2,2,2,2
"Anadia",2,3,3,3,3,3,3,3
"Aveiro",4,4,4,5,5,5,5,6
"Estarreja",1,1,1,1,1,1,1,1
"Ílhavo",1,1,1,1,1,1,1,1
"Murtosa",0,0,0,0,0,0,0,0
"Oliveira do Bairro",0,0,0,0,0,0,0,0
"Ovar",5,5,5,6,6,6,6,7
"Sever do Vouga",0,0,0,0,0,0,0,0
"Vagos",0,1,1,1,1,1,1,1
"Arganil",0,0,0,0,0,0,0,0
"Cantanhede",0,0,0,0,0,0,0,0
"Coimbra",100,103,106,113,114,116,118,118
"Condeixa-a-Nova",3,3,2,2,2,1,1,1
"Figueira da Foz",11,11,12,12,11,11,11,11
"Góis",0,0,0,0,0,0,0,0
"Lousã",0,0,0,0,0,0,0,0
"Mealhada",0,0,0,0,0,0,0,0
"Mira",0,0,0,0,0,0,0,0
"Miranda do Corvo",1,1,1,1,2,2,2,2
"Montemor-o-Velho",1,1,1,1,1,1,2,2
"Mortágua",0,0,0,1,2,2,2,2
"Oliveira do Hospital",0,0,0,0,0,0,0,0
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,0,0,0,0,0,0
"Penela",0,0,0,0,0,0,0,0
"Soure",0,0,0,0,0,0,0,0
"Tábua",0,0,0,0,0,0,0,0
"Vila Nova de Poiares",0,0,0,0,0,0,0,0
"Alvaiázere",0,0,0,0,0,0,0,0
"Ansião",0,0,0,0,0,0,0,0
"Batalha",0,0,0,0,0,0,0,0
"Castanheira de Pêra",0,0,0,0,0,0,0,0
"Figueiró dos Vinhos",0,0,0,0,0,0,0,0
"Leiria",9,11,12,12,12,12,13,14
"Marinha Grande",0,0,0,0,0,0,0,0
"Pedrógão Grande",0,0,0,0,0,0,0,0
"Pombal",0,0,0,0,0,0,0,0
"Porto de Mós",1,1,1,1,1,2,1,1
"Aguiar da Beira",0,0,0,0,0,0,0,0
"Carregal do Sal",0,0,0,0,0,0,0,0
"Castro Daire",0,0,0,0,0,0,0,0
"Mangualde",0,0,0,0,0,0,0,1
"Nelas",0,0,0,0,0,0,1,1
"Oliveira de Frades",0,0,0,0,0,0,0,0
"Penalva do Castelo",0,0,0,0,0,0,0,0
"Santa Comba Dão",1,1,1,1,1,1,1,1
"São Pedro do Sul",0,0,0,0,0,0,0,0
"Sátão",0,0,0,0,0,0,0,0
"Tondela",0,1,1,1,1,1,1,1
"Vila Nova de Paiva",0,0,0,0,0,0,0,0
"Viseu",16,17,17,19,20,20,21,20
"Vouzela",1,1,1,1,1,1,1,1
"Castelo Branco",2,2,3,4,4,4,4,4
"Idanha-a-Nova",0,0,0,0,0,0,0,0
"Oleiros",0,0,0,0,0,0,0,0
"Penamacor",0,0,0,0,0,0,0,0
"Proença-a-Nova",0,0,0,0,0,0,0,0
"Vila Velha de Ródão",0,0,0,0,0,0,0,0
"Abrantes",4,4,4,4,4,4,4,4
"Alcanena",0,0,0,0,0,0,0,0
"Constância",0,0,0,0,0,0,0,0
"Entroncamento",2,2,2,2,2,2,0,0
"Ferreira do Zêzere",0,0,0,0,0,0,0,0
"Mação",0,0,0,0,0,0,0,0
"Ourém",0,0,0,0,1,1,1,1
"Sardoal",0,0,0,0,0,0,0,0
"Sertã",0,0,0,0,0,0,0,0
"Tomar",2,2,2,1,1,1,1,1
"Torres Novas",3,3,3,3,3,3,3,3
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",0,0,0,0,0,0,0,0
"Almeida",0,0,0,0,0,0,0,0
"Belmonte",0,0,0,0,0,0,0,0
"Celorico da Beira",0,0,0,0,0,0,0,0
"Covilhã",5,5,4,4,4,3,3,3
"Figueira de Castelo Rodrigo",0,0,0,0,0,0,0,0
"Fornos de Algodres",0,0,0,0,0,0,0,0
"Fundão",0,0,0,0,0,0,0,0
"Gouveia",0,0,0,0,0,0,0,0
"Guarda",5,5,5,5,5,5,5,6
"Manteigas",0,0,0,0,0,0,0,0
"Mêda",0,0,0,0,0,0,0,0
"Pinhel",0,0,0,0,0,0,0,0
"Sabugal",0,0,0,0,0,0,0,0
"Seia",1,1,1,1,1,1,1,1
"Trancoso",0,0,0,0,0,0,0,0
"Alcochete",0,0,1,1,1,1,1,1
"Almada",17,19,19,19,18,19,19,20
"Amadora",8,8,8,8,8,8,8,8
"Barreiro",2,2,2,2,2,4,4,3
"Cascais",44,43,43,41,43,45,47,47
