"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",0,0,0,0,0,0,0,0
"Caminha",3,3,4,5,5,5,5,5
"Melgaço",0,0,0,0,0,0,0,0
"Monção",1,1,1,0,0,0,0,0
"Paredes de Coura",0,0,0,0,0,0,0,0
"Ponte da Barca",1,1,1,1,1,1,1,1
"Ponte de Lima",0,1,1,1,1,2,2,2
"Valença",0,0,0,0,0,0,0,0
"Viana do Castelo",13,14,14,16,17,16,17,17
"Vila Nova de Cerveira",0,0,0,0,0,0,0,0
"Amares",0,0,0,0,0,0,0,0
"Barcelos",6,6,6,7,7,6,6,6
"Braga",30,30,30,33,36,40,41,42
"Esposende",2,2,2,2,3,3,3,3
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",0,0,0,0,0,0,0,0
"Cabeceiras de Basto",0,0,0,1,1,1,1,1
"Fafe",1,1,1,1,1,1,1,1
"Guimarães",17,17,18,23,26,26,27,26
"Mondim de Basto",0,0,0,0,0,0,0,0
"Póvoa de Lanhoso",0,0,0,0,0,0,0,0
"Vieira do Minho",0,0,0,0,0,0,0,0
"Vila Nova de Famalicão",6,6,5,7,8,9,8,10
"Vizela",1,1,1,1,1,1,1,1
"Arouca",1,1,1,1,1,1,1,1
"Espinho",8,9,9,12,13,13,14,13
"Gondomar",18,18,18,19,22,22,22,25
"Maia",29,29,29,31,36,37,41,43
"Matosinhos",57,59,59,63,63,68,70,73
"Oliveira de Azeméis",7,7,7,8,9,9,9,8
"Paredes",0,0,0,0,2,2,3,2
"Porto",179,183,187,193,195,200,204,210
"Póvoa de Varzim",11,13,13,15,18,18,18,19
"Santa Maria da Feira",12,13,14,15,16,16,16,16
"Santo Tirso",5,7,8,8,11,11,11,11
"São João da Madeira",2,2,2,2,2,2,1,1
"Trofa",1,1,1,1,1,1,1,1
"Vale de Cambra",0,0,0,0,1,1,1,1
"Valongo",8,8,9,11,11,12,13,11
"Vila do Conde",15,12,12,15,16,17,17,18
"Vila Nova de Gaia",49,49,56,68,69,70,72,70
"Boticas",0,0,0,0,0,0,0,0
"Chaves",7,7,7,9,9,9,9,10
"Montalegre",0,0,0,0,0,0,0,0
"Ribeira de Pena",0,0,0,0,0,0,0,0
"Valpaços",1,1,1,0,0,0,0,0
"Vila Pouca de Aguiar",0,0,0,0,1,1,1,1
"Amarante",1,1,1,2,2,2,2,3
"Baião",0,0,0,0,0,0,0,0
"Castelo de Paiva",0,0,0,0,0,0,0,0
"Celorico de Basto",0,0,0,0,0,0,0,0
"Cinfães",0,0,0,0,1,1,1,1
"Felgueiras",0,0,0,1,2,2,2,2
"Lousada",1,1,1,1,1,1,1,1
"Marco de Canaveses",1,1,1,2,3,3,3,3
"Paços de Ferreira",3,3,4,4,4,4,5,6
"Penafiel",2,2,2,2,2,2,2,3
"Resende",0,0,0,0,0,0,0,0
"Alijó",0,0,0,0,0,0,0,0
"Armamar",0,0,0,0,0,0,0,0
"Carrazeda de Ansiães",0,0,0,0,0,0,0,0
"Freixo de Espada à Cinta",0,0,0,0,0,0,0,0
"Lamego",2,2,2,2,2,2,2,2
"Mesão Frio",0,0,1,1,1,0,0,0
"Moimenta da Beira",0,0,0,0,0,0,0,0
"Murça",0,0,0,0,0,0,0,0
"Penedono",0,0,0,0,0,0,0,0
"Peso da Régua",0,0,0,0,0,0,0,0
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",1,1,1,1,1,1,1,1
"São João da Pesqueira",0,0,0,0,0,0,0,0
"Sernancelhe",0,0,0,0,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",1,1,2,2,2,2,2,2
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",10,10,9,10,11,12,14,14
"Alfândega da Fé",0,0,0,0,0,0,0,0
"Bragança",2,2,2,2,2,2,2,2
"Macedo de Cavaleiros",0,0,0,0,0,0,0,0
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",3,3,3,3,3,3,3,4
"Mogadouro",0,0,0,0,0,0,0,0
"Vila Flor",0,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,0,0,0,0,0,1
