"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Arcos de Valdevez",10,10,10,10,10,12,12,13
"Caminha",12,12,12,15,15,15,16,16
"Melgaço",5,5,5,5,6,6,6,6
"Monção",6,7,7,9,9,10,13,13
"Paredes de Coura",4,4,3,3,3,4,5,5
"Ponte da Barca",8,8,7,8,9,8,8,8
"Ponte de Lima",21,20,20,20,19,20,21,20
"Valença",5,5,6,4,5,5,5,6
"Viana do Castelo",46,50,55,55,61,62,64,67
"Vila Nova de Cerveira",6,6,6,7,7,8,8,8
"Amares",4,4,5,5,5,5,6,6
"Barcelos",26,29,29,30,32,33,36,36
"Braga",135,135,138,143,150,158,163,169
"Esposende",9,10,12,14,13,13,14,14
"Terras de Bouro",0,0,0,0,0,0,0,0
"Vila Verde",6,6,6,6,6,6,6,6
"Cabeceiras de Basto",3,3,3,3,3,3,5,7
"Fafe",14,14,14,14,15,17,17,20
"Guimarães",60,65,69,75,80,83,86,88
"Mondim de Basto",3,3,3,3,3,3,3,3
"Póvoa de Lanhoso",4,4,4,5,5,5,6,7
"Vieira do Minho",5,5,5,5,5,5,5,5
"Vila Nova de Famalicão",37,39,40,39,42,45,47,49
"Vizela",7,7,8,8,8,8,9,9
"Arouca",3,3,3,3,6,7,7,8
"Espinho",29,29,29,28,29,30,30,31
"Gondomar",66,71,72,72,75,81,83,85
"Maia",91,93,98,98,98,101,109,107
"Matosinhos",145,150,156,161,174,187,192,191
"Oliveira de Azeméis",18,20,19,23,23,23,23,24
"Paredes",13,13,13,14,13,14,14,14
"Porto",343,356,363,380,409,425,442,455
"Póvoa de Varzim",34,34,34,36,36,35,39,40
"Santa Maria da Feira",36,35,36,40,47,47,47,48
"Santo Tirso",27,26,27,27,29,30,29,31
"São João da Madeira",8,9,10,9,9,9,9,10
"Trofa",6,5,6,6,8,9,10,14
"Vale de Cambra",8,9,9,10,10,10,9,9
"Valongo",31,31,30,35,40,41,43,46
"Vila do Conde",36,38,39,45,47,48,51,55
"Vila Nova de Gaia",181,186,191,197,210,223,233,238
"Boticas",1,1,1,1,1,1,1,1
"Chaves",22,22,22,25,25,28,28,28
"Montalegre",0,0,0,1,1,1,1,1
"Ribeira de Pena",2,2,3,2,2,3,3,4
"Valpaços",4,4,4,6,6,6,6,7
"Vila Pouca de Aguiar",8,8,8,8,8,9,9,9
"Amarante",18,17,18,18,18,18,18,18
"Baião",6,6,6,6,5,5,4,5
"Castelo de Paiva",4,4,4,4,4,4,6,5
"Celorico de Basto",5,5,5,5,5,5,6,6
"Cinfães",1,0,0,1,2,3,4,4
"Felgueiras",10,10,11,12,12,13,15,15
"Lousada",4,4,4,5,6,6,6,6
"Marco de Canaveses",10,11,11,12,14,15,16,16
"Paços de Ferreira",14,14,15,15,15,15,15,15
"Penafiel",20,20,20,21,26,29,32,35
"Resende",0,0,0,0,0,0,0,0
"Alijó",2,2,2,2,2,2,2,2
"Armamar",2,2,2,2,2,2,2,2
"Carrazeda de Ansiães",2,2,2,0,0,0,0,0
"Freixo de Espada à Cinta",2,2,2,2,2,2,2,2
"Lamego",15,15,15,15,15,15,16,18
"Mesão Frio",2,2,2,2,2,2,2,2
"Moimenta da Beira",4,4,4,3,4,5,5,6
"Murça",0,0,0,0,0,0,0,0
"Penedono",2,2,2,2,2,2,2,2
"Peso da Régua",11,11,11,11,11,10,10,10
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,1,1,1
"São João da Pesqueira",3,3,3,3,3,4,4,4
"Sernancelhe",3,3,3,3,3,3,3,3
"Tabuaço",1,1,1,1,1,1,1,1
"Tarouca",3,3,3,4,4,4,4,4
"Torre de Moncorvo",1,1,1,2,2,2,2,2
"Vila Nova de Foz Côa",1,1,1,1,1,1,1,1
"Vila Real",33,33,33,38,37,38,39,38
"Alfândega da Fé",3,3,3,3,3,3,3,3
"Bragança",20,21,22,23,23,24,26,25
"Macedo de Cavaleiros",10,9,11,11,11,11,9,9
"Miranda do Douro",4,5,6,5,5,5,5,5
"Mirandela",13,13,15,14,14,14,15,17
"Mogadouro",6,6,6,6,6,6,6,7
"Vila Flor",2,2,2,2,2,2,2,2
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",2,2,2,2,2,2,2,2
"Alcobaça",12,12,12,13,13,12,14,14
"Alenquer",13,13,14,15,17,17,18,18
"Arruda dos Vinhos",4,4,5,5,5,6,6,7
"Bombarral",3,3,3,4,4,5,6,6
"Cadaval",1,1,1,0,0,1,1,1
"Caldas da Rainha",36,37,38,38,38,38,40,40
"Lourinhã",9,8,9,10,10,10,10,11
"Nazaré",5,5,5,5,5,5,7,8
"Óbidos",3,3,3,4,4,4,4,4
"Peniche",15,15,15,16,14,14,14,14
"Sobral de Monte Agraço",1,1,1,2,3,4,3,5
"Torres Vedras",25,23,25,26,26,28,30,32
"Águeda",24,23,23,24,23,23,23,23
"Albergaria-a-Velha",13,13,13,13,13,13,13,14
"Anadia",13,13,14,14,16,15,14,14
"Aveiro",77,78,83,90,96,94,97,97
"Estarreja",14,14,17,16,14,15,15,15
"Ílhavo",18,19,19,20,19,20,19,19
"Murtosa",5,5,5,5,6,6,6,6
"Oliveira do Bairro",11,11,11,12,12,12,11,11
"Ovar",25,24,25,28,28,29,30,32
"Sever do Vouga",3,3,3,3,3,3,3,3
"Vagos",5,5,5,6,10,10,10,9
"Arganil",5,5,5,5,5,5,5,4
"Cantanhede",12,12,12,13,15,15,15,16
"Coimbra",349,355,356,380,404,411,418,428
"Condeixa-a-Nova",4,4,4,5,6,6,8,9
"Figueira da Foz",32,35,36,39,40,44,45,45
"Góis",0,0,0,0,0,0,0,0
"Lousã",3,2,2,3,3,3,2,2
"Mealhada",12,12,12,14,14,13,13,15
"Mira",5,5,5,6,6,6,6,7
"Miranda do Corvo",4,4,4,4,5,6,6,5
"Montemor-o-Velho",2,3,3,4,4,6,7,7
"Mortágua",8,8,8,10,10,11,11,11
"Oliveira do Hospital",12,12,13,14,14,14,14,14
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,0,0,0,0,1,1
"Penela",3,3,3,3,3,3,4,4
"Soure",2,3,4,4,3,3,3,3
"Tábua",3,3,3,3,4,4,4,3
"Vila Nova de Poiares",2,2,2,2,2,2,3,3
"Alvaiázere",3,3,3,3,3,3,3,3
"Ansião",2,2,2,3,3,4,4,4
"Batalha",2,2,1,1,2,3,3,3
"Castanheira de Pêra",1,1,1,1,1,1,1,2
"Figueiró dos Vinhos",4,4,4,4,4,4,5,5
"Leiria",86,86,87,93,97,97,98,102
"Marinha Grande",4,4,4,3,2,3,3,3
"Pedrógão Grande",0,0,0,0,0,0,0,0
"Pombal",24,24,25,27,27,28,30,30
"Porto de Mós",8,8,7,7,7,7,7,7
"Aguiar da Beira",3,3,3,3,3,3,3,3
"Carregal do Sal",7,8,7,7,6,6,6,6
"Castro Daire",3,3,3,3,3,3,3,3
"Mangualde",8,9,8,10,10,12,12,11
"Nelas",6,6,6,8,8,9,10,10
"Oliveira de Frades",7,7,7,7,7,7,6,6
"Penalva do Castelo",1,1,1,0,0,0,0,0
"Santa Comba Dão",7,7,8,8,8,8,8,8
"São Pedro do Sul",12,12,12,13,14,13,13,14
"Sátão",4,4,4,4,4,5,5,5
"Tondela",11,11,11,12,12,13,14,12
"Vila Nova de Paiva",2,2,2,1,1,1,1,1
"Viseu",81,82,83,91,93,102,106,113
"Vouzela",2,2,2,2,2,2,3,3
"Castelo Branco",47,48,48,51,54,54,55,53
"Idanha-a-Nova",4,4,4,4,4,4,4,4
"Oleiros",0,0,0,0,0,0,0,0
"Penamacor",3,4,4,5,5,5,5,5
"Proença-a-Nova",6,6,6,5,5,5,5,5
"Vila Velha de Ródão",0,0,0,0,0,0,1,1
"Abrantes",24,24,24,24,24,23,25,24
"Alcanena",4,4,4,4,4,4,5,5
"Constância",0,0,0,0,0,0,0,0
"Entroncamento",14,13,13,14,15,17,17,17
"Ferreira do Zêzere",1,1,1,1,1,1,1,1
"Mação",1,1,1,1,1,1,1,1
"Ourém",12,12,12,13,13,15,15,16
"Sardoal",1,1,1,1,1,1,1,1
"Sertã",6,6,6,6,6,6,6,7
"Tomar",26,24,24,24,24,24,24,24
"Torres Novas",11,12,12,14,15,15,16,16
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",1,1,1,1,1,1,1,1
"Almeida",3,3,2,4,4,4,4,4
"Belmonte",4,4,4,3,3,1,1,1
"Celorico da Beira",1,1,1,1,1,0,0,0
"Covilhã",21,22,23,24,29,30,31,31
"Figueira de Castelo Rodrigo",2,2,1,1,1,1,1,1
"Fornos de Algodres",2,3,3,3,3,3,3,3
"Fundão",15,15,15,15,15,15,15,16
"Gouveia",13,13,13,14,14,15,15,14
"Guarda",30,30,30,32,35,35,36,34
"Manteigas",3,3,3,3,3,3,3,3
"Mêda",2,2,2,2,2,1,1,1
"Pinhel",6,6,6,6,6,6,6,6
"Sabugal",4,4,4,4,4,4,4,4
